birthdate,PrenomNom,sex
1985-07-02,Anaïs-Adrienne Launay,F
1994-11-11,Benjamin Delmas de la Gros,M
1991-03-20,Laurence Lucas,F
1993-12-01,Philippine Laurent,F
1984-03-22,Louise Paris,F
1976-07-29,André Joly,M
1983-09-26,Léon Gosselin,M
1983-06-09,Nicolas Normand-Fontaine,M
1973-01-15,Camille Charrier,F
1982-06-12,Julien Legrand,M
1982-09-21,William Gregoire de Delattre,M
1985-05-30,Audrey Leduc du Vaillant,F
1979-08-26,François Vallet,M
1996-03-26,Augustin Diallo,M
1983-01-23,Margaud Vasseur,F
1987-10-30,Pénélope de Carre,F
1993-02-13,Roger Richard-Lamy,M
1993-12-06,Lucas Pascal,M
1972-06-10,Benjamin de Lebrun,M
1987-01-18,Zoé Gerard-Bouvet,F
1974-05-01,Juliette Remy,F
1970-05-17,Victor Royer,M
1987-01-09,Robert de Guillon,M
1993-02-18,Marie Tanguy,F
1981-09-10,Franck Bousquet,M
1983-08-22,David-Bertrand Gautier,M
1991-11-26,Élise de Leclerc,F
1983-04-26,Éric Rolland,M
1993-06-13,Claire Legendre,F
1994-08-26,Élisabeth Reynaud,F
1979-06-07,Théophile Mahe,M
1989-12-30,Pénélope-Françoise Guyot,F
1982-11-14,Éléonore Muller,F
1972-06-30,Amélie Delaunay,F
1990-10-03,Benoît-Lucas Baudry,M
1990-03-19,Luce Martins-Lefevre,F
1991-10-12,Gérard Levy,M
1995-02-22,Xavier Pereira,M
1985-12-21,Alix Benard,F
1984-05-03,Arthur de Richard,M
1973-06-08,Arthur-Marcel Millet,M
1980-12-06,Dominique Allard du Peltier,F
1989-06-12,Yves Masse,M
1976-01-25,Éléonore Clement,F
1983-12-31,Luce du Robin,F
1982-12-03,Thierry Riou,M
1994-06-27,Paul Prevost,M
1991-08-22,Dorothée Rolland,F
1979-12-31,Suzanne Masse,F
1983-08-29,Nathalie Lagarde,F
1993-06-24,Noémi Adam de la Couturier,F
1970-11-24,Martin Lucas de Diallo,M
1985-11-22,Antoine Collin,M
1992-03-06,Bertrand Wagner,M
1987-11-24,Émilie-Jeannine Weber,F
1987-12-28,Anastasie Richard,F
1973-10-23,Emmanuelle Ruiz-Laurent,F
1972-07-19,Matthieu Cousin,M
1996-10-09,Valentine Riou,F
1991-11-17,Élodie Lebreton,F
1991-02-19,Philippine-Claire Lefebvre,F
1983-03-13,Odette-Mathilde Imbert,F
1970-06-10,Madeleine Vasseur,F
1973-08-23,Susan Dupuis,F
1994-11-16,Tristan Huet-Germain,M
1983-08-04,Sabine Lejeune,F
1995-05-24,Timothée Marchand,M
1990-06-05,Sylvie Roux-Delattre,F
1985-02-14,Patrick-Daniel Barre,M
1981-02-20,Laurent Lacombe-Lecomte,M
1990-03-08,Marcel David,M
